epoch,loss,mae,mape,val_loss,val_mae,val_mape
0,1.1170204877853394,0.8377231359481812,175.21502685546875,0.6343905925750732,0.6172296404838562,107.83627319335938
1,0.5707100033760071,0.5746597647666931,96.26683807373047,0.5242911577224731,0.5435974597930908,88.54216766357422
2,0.29800617694854736,0.4159606099128723,90.98300170898438,0.19200390577316284,0.3485470712184906,87.69580841064453
3,0.18013246357440948,0.3379216492176056,86.98299407958984,0.16718333959579468,0.3260979950428009,86.09309387207031
4,0.1668570190668106,0.32500773668289185,85.12686920166016,0.16047348082065582,0.3162831664085388,83.1162338256836
5,0.16162727773189545,0.3188876211643219,84.04215240478516,0.15609899163246155,0.3118917644023895,82.76459503173828
6,0.15827131271362305,0.31528449058532715,83.22152709960938,0.15234027802944183,0.30865100026130676,81.62842559814453
7,0.15587691962718964,0.31264618039131165,82.58600616455078,0.1511305719614029,0.3075748682022095,82.48368835449219
8,0.15383385121822357,0.3103727698326111,82.0062484741211,0.14911039173603058,0.30548352003097534,80.64932250976562
9,0.15200142562389374,0.3083510994911194,81.49690246582031,0.14784494042396545,0.30219995975494385,79.32693481445312
10,0.150630384683609,0.30674979090690613,81.11300659179688,0.1455124467611313,0.3027156889438629,80.17272186279297
11,0.14936821162700653,0.30531299114227295,80.7463607788086,0.14482851326465607,0.2989402711391449,77.96884155273438
12,0.14825959503650665,0.3040102422237396,80.36824035644531,0.14334799349308014,0.2981858253479004,78.4392318725586
13,0.14726094901561737,0.30289509892463684,80.0825424194336,0.14252892136573792,0.2980733811855316,78.76399993896484
14,0.14644445478916168,0.30188900232315063,79.84785461425781,0.14175483584403992,0.2974357008934021,79.04180908203125
0,0.18978866934776306,0.3452170193195343,89.51358032226562,0.1614127904176712,0.3201586604118347,85.4208755493164
1,0.16227152943611145,0.31915271282196045,84.67774963378906,0.15579649806022644,0.31283852458000183,83.582275390625
2,0.15728236734867096,0.3132871687412262,83.12769317626953,0.1529407650232315,0.3098771870136261,83.37324523925781
3,0.1527421623468399,0.3081943392753601,81.78634643554688,0.1484312117099762,0.3035222589969635,80.3810806274414
4,0.15216849744319916,0.30753833055496216,81.6064224243164,0.14809690415859222,0.3024616539478302,80.43891906738281
5,0.15190710127353668,0.30718377232551575,81.56884765625,0.14785665273666382,0.30291450023651123,80.55168151855469
6,0.15169738233089447,0.30701446533203125,81.47700500488281,0.14760690927505493,0.3022302985191345,80.44137573242188
7,0.1514454483985901,0.30666384100914,81.39733123779297,0.14757248759269714,0.30277857184410095,80.65950775146484
8,0.15121430158615112,0.3064490258693695,81.31881713867188,0.14736728370189667,0.3019962012767792,80.32022094726562
9,0.15113204717636108,0.3063472807407379,81.35627746582031,0.14719970524311066,0.3018890619277954,80.35392761230469
10,0.15112651884555817,0.30632755160331726,81.27442169189453,0.1470116376876831,0.3013741075992584,80.07408142089844
11,0.150847390294075,0.306044340133667,81.26202392578125,0.14701661467552185,0.3020766079425812,80.420166015625
12,0.1508939415216446,0.3060670495033264,81.21609497070312,0.14681793749332428,0.30130818486213684,80.06331634521484
13,0.15066692233085632,0.30585333704948425,81.1906509399414,0.14676843583583832,0.30097219347953796,79.76924896240234
14,0.15059848129749298,0.3057277202606201,81.13114929199219,0.14666521549224854,0.30106422305107117,80.02224731445312
