epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0005000000237487257,0.3354954421520233,0.4313671588897705,255.54153442382812,1.203048825263977,0.8899598717689514,314.1278076171875
1,0.0005000000237487257,0.26371341943740845,0.3817310035228729,235.566650390625,1.19721519947052,0.8844865560531616,313.8366394042969
2,0.0005000000237487257,0.23922455310821533,0.3637901842594147,232.82017517089844,1.1724475622177124,0.8758434057235718,307.192138671875
3,0.0005000000237487257,0.22330977022647858,0.3517305850982666,230.28652954101562,1.1596105098724365,0.8702262043952942,303.7021789550781
4,0.0005000000237487257,0.2120438814163208,0.34308335185050964,227.87620544433594,1.1792354583740234,0.8765313625335693,312.97808837890625
5,0.0005000000237487257,0.20406030118465424,0.33691340684890747,225.06471252441406,1.1559489965438843,0.8685030937194824,303.1148681640625
6,0.0005000000237487257,0.19771482050418854,0.33181673288345337,223.2304229736328,1.1481592655181885,0.865341067314148,297.8151550292969
7,0.0005000000237487257,0.19224195182323456,0.32725152373313904,221.205322265625,1.1500343084335327,0.8645114898681641,299.8270568847656
8,0.0005000000237487257,0.1875891387462616,0.323480486869812,219.53721618652344,1.1686967611312866,0.8694456219673157,309.5723876953125
9,0.0005000000237487257,0.18405140936374664,0.3204459846019745,217.86190795898438,1.1533639430999756,0.8661786317825317,301.6542663574219
10,0.0002500000118743628,0.1681857854127884,0.30691131949424744,211.08021545410156,1.142777681350708,0.859747052192688,298.8770446777344
11,0.0002500000118743628,0.16578860580921173,0.304797887802124,209.8499298095703,1.1420429944992065,0.8600200414657593,296.75140380859375
12,0.0002500000118743628,0.16401559114456177,0.30308660864830017,208.82347106933594,1.1404943466186523,0.8586363792419434,295.6651916503906
13,0.0002500000118743628,0.16297230124473572,0.3022080957889557,208.1243896484375,1.140812635421753,0.8584429621696472,296.3211975097656
14,0.0002500000118743628,0.16141702234745026,0.3008617162704468,207.6379852294922,1.130674958229065,0.8564273715019226,289.239013671875
15,0.0002500000118743628,0.1605812907218933,0.30007287859916687,206.7266845703125,1.1441144943237305,0.8593285083770752,298.1764831542969
16,0.0002500000118743628,0.15950174629688263,0.29899048805236816,206.39527893066406,1.141077995300293,0.8588268160820007,293.5596923828125
17,0.0002500000118743628,0.15874755382537842,0.2982770800590515,205.3778533935547,1.1375447511672974,0.8578131198883057,290.061767578125
18,0.0001250000059371814,0.1515515297651291,0.2917695939540863,202.181884765625,1.1351174116134644,0.8561086058616638,290.3735656738281
19,0.0001250000059371814,0.15084372460842133,0.29110804200172424,201.48944091796875,1.1314057111740112,0.8547009825706482,289.4674987792969
