epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.00013074793969281018,0.8872962594032288,0.7171453237533569,605.9097900390625,0.7950348854064941,0.6724945902824402,472.6166687011719
1,0.00013074793969281018,0.8383874297142029,0.6948228478431702,497.732177734375,0.7476073503494263,0.6510791778564453,432.85931396484375
2,0.00013074793969281018,0.8148493766784668,0.6844635009765625,543.1809692382812,0.7101704478263855,0.6349450945854187,483.0163269042969
3,0.00013074793969281018,0.7982919812202454,0.6771098971366882,524.9076538085938,0.6850245594978333,0.6219750642776489,493.2068786621094
4,0.00013074793969281018,0.7868486642837524,0.6720947027206421,483.4862060546875,0.6662150621414185,0.614956796169281,423.5073547363281
5,0.00013074793969281018,0.7779768109321594,0.668078601360321,452.97491455078125,0.6494198441505432,0.6065380573272705,469.0716552734375
6,0.00013074793969281018,0.7697994709014893,0.6646274328231812,497.8153991699219,0.641959011554718,0.6038076281547546,462.9492492675781
7,0.00013074793969281018,0.7638940215110779,0.6620864272117615,451.38836669921875,0.6253554224967957,0.595579206943512,470.60443115234375
8,0.00013074793969281018,0.7592365741729736,0.6598977446556091,526.8758544921875,0.6216577887535095,0.5930818915367126,433.2373352050781
9,0.00013074793969281018,0.754351019859314,0.6579691767692566,560.5633544921875,0.602868378162384,0.584408700466156,463.83807373046875
10,0.00013074793969281018,0.7507548928260803,0.6561632752418518,510.9378967285156,0.6050469279289246,0.5869176983833313,510.39569091796875
11,0.00013074793969281018,0.7470924854278564,0.6546831727027893,523.9074096679688,0.5957885980606079,0.5811058282852173,422.6486511230469
12,0.00013074793969281018,0.7439568638801575,0.6531980037689209,483.1522216796875,0.5906665325164795,0.5790133476257324,549.5369262695312
13,0.00013074793969281018,0.7415395379066467,0.6523981094360352,607.4714965820312,0.5854865312576294,0.5764983892440796,460.820556640625
14,0.00013074793969281018,0.7388750314712524,0.6510921716690063,456.5708312988281,0.5820662975311279,0.5755448341369629,529.199951171875
