epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,9.999999747378752e-05,0.9415751695632935,0.7428761124610901,532.0506591796875,0.8992990255355835,0.722457766532898,454.5366516113281
1,9.999999747378752e-05,0.8806312680244446,0.7150606513023376,555.5921020507812,0.8641195297241211,0.7060835957527161,563.5291748046875
2,9.999999747378752e-05,0.8532158732414246,0.7026892304420471,515.8677368164062,0.8378208875656128,0.6950230002403259,642.7787475585938
3,9.999999747378752e-05,0.8340709805488586,0.6939778327941895,476.7232666015625,0.8187349438667297,0.6856749057769775,554.23828125
4,9.999999747378752e-05,0.8194366097450256,0.6872153878211975,480.3966369628906,0.8177133202552795,0.6854418516159058,710.5097045898438
5,9.999999747378752e-05,0.8070796728134155,0.6816195249557495,503.6518249511719,0.8038155436515808,0.6797165870666504,637.010498046875
6,9.999999747378752e-05,0.79678875207901,0.6768861413002014,481.5125427246094,0.7903779745101929,0.6723175644874573,512.7280883789062
7,9.999999747378752e-05,0.7879869937896729,0.6725913882255554,498.4390869140625,0.7831542491912842,0.6696420907974243,487.0682678222656
8,9.999999747378752e-05,0.7807984948158264,0.6692805886268616,498.68145751953125,0.7801668643951416,0.6691972613334656,598.9666137695312
9,9.999999747378752e-05,0.7741894721984863,0.6661363840103149,599.694091796875,0.7660760283470154,0.6609631776809692,496.0466003417969
10,9.999999747378752e-05,0.7682217359542847,0.6633093357086182,493.99053955078125,0.7884772419929504,0.6727956533432007,505.51995849609375
11,9.999999747378752e-05,0.7631101012229919,0.6610080003738403,565.614501953125,0.76280277967453,0.6606025099754333,470.3842468261719
12,9.999999747378752e-05,0.7584024667739868,0.6588905453681946,533.5244750976562,0.7540599703788757,0.6555429697036743,534.5775146484375
13,9.999999747378752e-05,0.7539999485015869,0.6569260358810425,591.6956176757812,0.7428020238876343,0.6501109600067139,577.7000732421875
14,9.999999747378752e-05,0.7498071789741516,0.6548976302146912,578.8860473632812,0.7462389469146729,0.6515502333641052,458.6469421386719
