epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0005000000237487257,0.3344338536262512,0.43031468987464905,254.65211486816406,1.2597482204437256,0.9084176421165466,336.79742431640625
1,0.0005000000237487257,0.2642403542995453,0.38099297881126404,236.3011474609375,1.2355881929397583,0.9018845558166504,326.2701416015625
2,0.0005000000237487257,0.23881807923316956,0.36279329657554626,229.70333862304688,1.2062300443649292,0.8894434571266174,316.1798095703125
3,0.0005000000237487257,0.22353464365005493,0.35119131207466125,225.95057678222656,1.2052040100097656,0.8879186511039734,309.4330749511719
4,0.0005000000237487257,0.2129526436328888,0.34297308325767517,223.9620819091797,1.1983492374420166,0.8845222592353821,311.2499694824219
5,0.0005000000237487257,0.20486930012702942,0.3366430103778839,221.88865661621094,1.2039446830749512,0.8859934210777283,312.0719909667969
6,0.0005000000237487257,0.19831576943397522,0.33144429326057434,220.13523864746094,1.197772741317749,0.8825752139091492,309.96405029296875
7,0.0005000000237487257,0.19324977695941925,0.32727715373039246,218.29107666015625,1.2121375799179077,0.8891683220863342,309.5078125
8,0.0005000000237487257,0.1887252777814865,0.32355618476867676,216.89956665039062,1.2071466445922852,0.8857648968696594,310.4443359375
9,0.0002500000118743628,0.1718418151140213,0.30910223722457886,209.38478088378906,1.1997441053390503,0.8819165825843811,307.8178405761719
10,0.0002500000118743628,0.16923117637634277,0.30681470036506653,208.91525268554688,1.181660532951355,0.8761903643608093,302.52734375
11,0.0002500000118743628,0.16732892394065857,0.3051098883152008,207.65602111816406,1.1804198026657104,0.8751538395881653,300.2183532714844
12,0.0002500000118743628,0.16580645740032196,0.30370083451271057,207.3172607421875,1.1650539636611938,0.8694354295730591,294.0625305175781
13,0.0002500000118743628,0.1645146757364273,0.30249473452568054,206.8747100830078,1.1891628503799438,0.8781161904335022,302.7604675292969
14,0.0002500000118743628,0.16344863176345825,0.301565945148468,206.24607849121094,1.2018308639526367,0.8822810649871826,306.40118408203125
15,0.0001250000059371814,0.15602926909923553,0.2948692739009857,202.69383239746094,1.188876986503601,0.8763607740402222,302.1011962890625
16,0.0001250000059371814,0.15482184290885925,0.2937872111797333,202.02854919433594,1.184875726699829,0.8755582571029663,299.9144287109375
