epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,9.999999747378752e-05,0.957274854183197,0.7491559982299805,600.7933349609375,0.8808164000511169,0.7132082581520081,640.8120727539062
1,9.999999747378752e-05,0.8996179103851318,0.7229232788085938,551.9927368164062,0.8719485998153687,0.7087227702140808,603.5385131835938
2,9.999999747378752e-05,0.8929920196533203,0.7196429967880249,570.6556396484375,0.8661535978317261,0.7060675621032715,579.280029296875
3,9.999999747378752e-05,0.8886842727661133,0.7177056074142456,544.0682983398438,0.8620879650115967,0.7042568922042847,567.255859375
4,9.999999747378752e-05,0.8858736753463745,0.7163267731666565,567.9109497070312,0.8597395420074463,0.7029148936271667,547.6582641601562
5,9.999999747378752e-05,0.883086621761322,0.7148797512054443,554.3382568359375,0.8564034104347229,0.7014079689979553,552.9976196289062
6,9.999999747378752e-05,0.8811955451965332,0.7140437960624695,583.8624267578125,0.8549756407737732,0.700843870639801,535.5634765625
7,9.999999747378752e-05,0.8794147372245789,0.7132372856140137,540.7144775390625,0.8520995378494263,0.6995685696601868,548.7412719726562
8,9.999999747378752e-05,0.8781952857971191,0.7126814723014832,559.9308471679688,0.8503415584564209,0.6986695528030396,550.8729248046875
9,9.999999747378752e-05,0.8768830299377441,0.7120901346206665,565.6575927734375,0.8490222096443176,0.6977887749671936,542.531982421875
