epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,1.4633768796920776,1.3483084440231323
1,9.999999747378752e-05,1.1792534589767456,1.2038568258285522
2,9.999999747378752e-05,1.1058555841445923,1.1641230583190918
3,9.999999747378752e-05,1.0594755411148071,1.1150630712509155
4,9.999999747378752e-05,1.0276769399642944,1.100088119506836
5,9.999999747378752e-05,1.0076549053192139,1.0358296632766724
6,9.999999747378752e-05,0.9834126830101013,1.0304547548294067
7,9.999999747378752e-05,0.9683262705802917,0.9887498021125793
8,9.999999747378752e-05,0.9468083381652832,0.9885799288749695
9,9.999999747378752e-05,0.931067168712616,0.9624199867248535
10,9.999999747378752e-05,0.9217686653137207,0.9616562724113464
11,9.999999747378752e-05,0.9104399085044861,0.9620409607887268
12,9.999999747378752e-05,0.900407612323761,0.9361481070518494
13,9.999999747378752e-05,0.903113842010498,0.9456678032875061
14,9.999999747378752e-05,0.8938987851142883,0.9144132733345032
15,9.999999747378752e-05,0.8874578475952148,0.9276831746101379
16,9.999999747378752e-05,0.8874977827072144,0.9303520321846008
17,4.999999873689376e-05,0.8774447441101074,0.8952047824859619
18,4.999999873689376e-05,0.8786270022392273,0.9063049554824829
19,4.999999873689376e-05,0.8758435845375061,0.8957697153091431
20,2.499999936844688e-05,0.8748127818107605,0.8874452710151672
21,2.499999936844688e-05,0.872585654258728,0.8863154053688049
22,2.499999936844688e-05,0.8724718689918518,0.8762385845184326
23,2.499999936844688e-05,0.8734381198883057,0.8905600309371948
24,2.499999936844688e-05,0.8740546107292175,0.8838790655136108
25,1.249999968422344e-05,0.8690770864486694,0.8765599727630615
26,1.249999968422344e-05,0.8673219084739685,0.892752468585968
27,6.24999984211172e-06,0.8699668645858765,0.8607594966888428
28,6.24999984211172e-06,0.8659491539001465,0.8814784288406372
29,6.24999984211172e-06,0.8688047528266907,0.8816604018211365
