epoch,learning_rate,loss,val_loss
0,0.00047500000800937414,1.156890869140625,1.0120623111724854
1,0.00045125000178813934,0.8447158336639404,0.8066763877868652
2,0.0004286874900572002,0.7050448060035706,0.706167995929718
3,0.00040725310100242496,0.6169638633728027,0.6472650766372681
4,0.0003868904314003885,0.5712422728538513,0.6162413358688354
5,0.0003675459010992199,0.5451385378837585,0.5913811922073364
6,0.00034916860749945045,0.5264598727226257,0.5734660029411316
7,0.00033171018003486097,0.5109870433807373,0.5584560036659241
8,0.0003151246637571603,0.5017575621604919,0.5490584969520569
9,0.0002993684320244938,0.49524715542793274,0.5466562509536743
10,0.00028440001187846065,0.4898642897605896,0.540565550327301
11,0.0002701799967326224,0.48646584153175354,0.542010486125946
12,0.00025667098816484213,0.4833698868751526,0.5276547074317932
13,0.00024383743584621698,0.4803074598312378,0.531402051448822
14,0.0002316455647815019,0.4778498709201813,0.5293726921081543
15,0.00022006328799761832,0.47609567642211914,0.5281628966331482
16,0.00020906011923216283,0.474067747592926,0.5253172516822815
17,0.00019860711472574621,0.4731443226337433,0.5224063992500305
18,0.00018867675680667162,0.4710942804813385,0.5178700089454651
19,0.00017924292478710413,0.47003406286239624,0.5222145915031433
20,0.00017028077854774892,0.4695552885532379,0.5183223485946655
21,0.00016176674398593605,0.4682633578777313,0.5211344361305237
22,0.0001536784111522138,0.4684634208679199,0.5134421586990356
23,0.00014599449059460312,0.46644479036331177,0.5084763169288635
24,0.00013869476970285177,0.46605050563812256,0.5130710005760193
25,0.0001317600253969431,0.4654330313205719,0.5149278044700623
26,0.00012517202412709594,0.4651024341583252,0.5069689154624939
27,0.0001189134200103581,0.46320420503616333,0.5069228410720825
28,0.00011296774755464867,0.46299248933792114,0.5064753293991089
29,0.00010731936345109716,0.46195369958877563,0.5061041712760925
30,0.00010195339564234018,0.4616154134273529,0.5110484957695007
31,9.685572877060622e-05,0.4620358645915985,0.5056147575378418
32,9.20129386940971e-05,0.4620645046234131,0.5042418837547302
33,8.741229248698801e-05,0.4602878987789154,0.5050429701805115
34,8.304167567985132e-05,0.46103209257125854,0.5035072565078735
35,7.888959225965664e-05,0.45959752798080444,0.5019999742507935
36,7.494511373806745e-05,0.4605785310268402,0.5011171698570251
37,7.119785732356831e-05,0.45921429991722107,0.5030617713928223
38,6.763796409359202e-05,0.4595371186733246,0.5011948943138123
39,6.425606261473149e-05,0.45918986201286316,0.49993494153022766
40,6.10432616667822e-05,0.45844167470932007,0.5027522444725037
41,5.799109931103885e-05,0.4594036340713501,0.5021263360977173
42,5.5091542890295386e-05,0.4595716893672943,0.49970054626464844
43,5.233696720097214e-05,0.4589320719242096,0.4991893172264099
44,4.972011811332777e-05,0.4582279920578003,0.49740350246429443
45,4.7234112571459264e-05,0.45833712816238403,0.4985520839691162
46,4.487240585149266e-05,0.45822253823280334,0.4953773319721222
47,4.262878428562544e-05,0.45870688557624817,0.49602943658828735
48,4.049734343425371e-05,0.4577285945415497,0.49733784794807434
49,3.8472477172035724e-05,0.4587387144565582,0.49735739827156067
